Structure,Name,region,number,region_alt,R,G,B,A
thalamus,parafascicular,Right-Pf,8218,Right-Pf,0,85,255,0
thalamus,ventral anterior mc,Right-VAmc,8227,Right-VAmc,255,85,0,0
thalamus,mediodorsal lateral,Right-MDl,8212,Right-MDl,0,170,127,0
thalamus,vental anterior,Right-VA,8226,Right-VA,85,85,0,0
thalamus,medial ventral (reuniens),Right-MV(Re),8216,Right-MV(Re),0,0,255,0
thalamus,central medial,Right-CeM,8204,Right-CeM,170,85,0,0
thalamus,ventromedial,Right-VM,8230,Right-VM,85,255,0,0
thalamus,pulvinar lateral,Right-PuL,8222,Right-PuL,0,255,255,0
thalamus,central lateral,Right-CL,8205,Right-CL,0,170,0,0
thalamus,ventral lateral posterior,Right-VLp,8229,Right-VLp,255,170,0,0
thalamus,paracentral,Right-Pc,8217,Right-Pc,170,0,255,0
thalamus,paratenial,Right-Pt,8219,Right-Pt,170,85,255,0
thalamus,anteroventral,Right-AV,8203,Right-AV,0,85,0,0
thalamus,lateral posterior,Right-LP,8210,Right-LP,0,85,127,0
thalamus,laterodorsal,Left-LD,8108,Left-LD,170,255,0,0
thalamus,laterodorsal,Right-LD,8208,Right-LD,170,255,0,0
thalamus,left whole thalamus,Left-Whole_thalamus,NA,NA,NA,NA,NA,NA
thalamus,right whole thalamus,Right-Whole_thalamus,NA,NA,NA,NA,NA,NA
hippocampus,hippocampal tail,Hippocampal_tail,226,HP_tail,170,170,255,0
hippocampus,subiculum body,subiculum-body,236,subiculum-body,0,0,255,0
hippocampus,CA1 body,CA1-body,238,CA1-body,255,0,0,0
hippocampus,subiculum head,subiculum-head,235,subiculum-head,0,0,175,0
hippocampus,hippocampal fissure,hippocampal-fissure,215,hippocampal_fissure,128,32,255,0
hippocampus,presubiculum head,presubiculum-head,233,presubiculum-head,32,0,32,0
hippocampus,CA1 head,CA1-head,237,CA1-head,175,75,75,0
hippocampus,presubiculum body,presubiculum-body,234,presubiculum-body,64,0,64,0
hippocampus,parasubiculum,parasubiculum,203,parasubiculum,175,175,75,0
hippocampus,molecular layer head,molecular_layer_HP-head,245,molecular_layer_HP-head,100,25,25,0
hippocampus,molecular layer body,molecular_layer_HP-body,246,molecular_layer_HP-body,128,0,0,0
hippocampus,GC ML DG head,GC-ML-DG-head,243,GC-ML-DG-head,75,125,175,0
hippocampus,CA3 body,CA3-body,240,CA3-body,0,128,0,0
hippocampus,GC ML DG body,GC-ML-DG-body,244,GC-ML-DG-body,32,200,255,0
hippocampus,CA4 head,CA4-head,241,CA4-head,120,90,50,0
hippocampus,CA4 body,CA4-body,242,CA4-body,196,160,128,0
hippocampus,fimbria,fimbria,212,fimbria,204,153,204,0
hippocampus,CA3 head,CA3-head,239,CA3-head,0,80,0,0
hippocampus,hippocampal amydgala transition area,HATA,211,HATA,128,255,128,0
hippocampus,whole hippocampus,Whole_hippocampus,NA,NA,NA,NA,NA,NA
hippocampus,whole hippocampus body,Whole_hippocampal_body,NA,NA,NA,NA,NA,NA
hippocampus,whole hippocampus head,Whole_hippocampal_head,NA,NA,NA,NA,NA,NA
amygdala,lateral nucleus,Lateral-nucleus,7001,Lateral-nucleus,72,132,181,0
amygdala,basal nucleus,Basal-nucleus,7003,Basal-nucleus,207,63,79,0
amygdala,accessory basal nucleus,Accessory-Basal-nucleus,7008,Accessory-Basal-nucleus,232,146,35,0
amygdala,anterior amygdaloid area,Anterior-amygdaloid-area-AAA,7010,Anterior-amygdaloid-area-AAA,250,250,0,0
amygdala,central nucleus,Central-nucleus,7005,Central-nucleus,197,60,248,0
amygdala,medial nucleus,Medial-nucleus,7006,Medial-nucleus,2,149,2,0
amygdala,cortical nucleus,Cortical-nucleus,7007,Cortical-nucleus,221,249,166,0
amygdala,corticoamygdaloid transition,Corticoamygdaloid-transitio,7009,Corticoamygdaloid-transitio,20,60,120,0
amygdala,paralaminar nucleus,Paralaminar-nucleus,7015,Paralaminar-nucleus,45,205,165,0
amygdala,whole amygdala,Whole_amygdala,NA,NA,NA,NA,NA,NA
